x = -0.391431983888108	y = -0.6829073851513947	t = 2.0848400592803955
x = -0.3906376272530545	y = -0.6841396099889797	t = 2.1006455421447754
x = -0.389843270618001	y = -0.6853718348265647	t = 2.1147119998931885
x = -0.3889118734775256	y = -0.6868064236409452	t = 2.1295037269592285
x = -0.38758130613398933	y = -0.6888558362329175	t = 2.1503357887268066
x = -0.3867750233130505	y = -0.6900802906120896	t = 2.164090871810913
x = -0.3858297417013029	y = -0.6915057689087056	t = 2.178985834121704
x = -0.3850195003198049	y = -0.6927276074486622	t = 2.19219970703125
x = -0.3839391784778077	y = -0.6943567255019377	t = 2.209442615509033
x = -0.3832606855982147	y = -0.6953727337545107	t = 2.223015785217285
x = -0.38230619709634067	y = -0.6967920636666248	t = 2.236424207687378
x = -0.3814880640947344	y = -0.6980086321627226	t = 2.252197742462158
x = -0.38039722009259264	y = -0.699630723490853	t = 2.2661328315734863
x = -0.37971216511051104	y = -0.7006423187797309	t = 2.280440330505371
x = -0.3788900991320131	y = -0.7018562331263845	t = 2.2944486141204834
x = -0.37778355771870037	y = -0.7034676570353632	t = 2.3105661869049072
x = -0.3769536516587158	y = -0.7046762249670973	t = 2.3249049186706543
x = -0.37583670316338075	y = -0.7062804528101959	t = 2.341221332550049
x = -0.37471975466804563	y = -0.7078846806532947	t = 2.3559608459472656
x = -0.37388204329654434	y = -0.7090878515356187	t = 2.370816946029663
x = -0.3729001755958936	y = -0.7104883805492598	t = 2.384389877319336
x = -0.37191378041218637	y = -0.7118857245445561	t = 2.399121046066284
x = -0.3709228680770198	y = -0.7132798688855934	t = 2.4143927097320557
x = -0.36992744896930424	y = -0.7146707989699708	t = 2.429048538208008
x = -0.3689275335151543	y = -0.716058500228954	t = 2.4428091049194336
x = -0.367774531594693	y = -0.7176370145574341	t = 2.4593913555145264
x = -0.366909780154347	y = -0.7188209003037942	t = 2.4732189178466797
x = -0.3658964386879847	y = -0.7201988280131397	t = 2.4870307445526123
x = -0.36487864304949896	y = -0.7215734689618645	t = 2.501952886581421
x = -0.3637154480340867	y = -0.7231444871889785	t = 2.518559217453003
x = -0.36269320888396606	y = -0.7245158269789621	t = 2.5323548316955566
x = -0.3613732020850337	y = -0.7262747153231461	t = 2.552752733230591
x = -0.360342108079164	y = -0.7276394097397432	t = 2.567500114440918
x = -0.35945831321698996	y = -0.7288091478111121	t = 2.581519365310669
x = -0.3584228079597527	y = -0.730170498082668	t = 2.5950510501861572
x = -0.357391713953883	y = -0.731535192499265	t = 2.6107873916625977
x = -0.3566520673415706	y = -0.7325075855503764	t = 2.624498128890991
x = -0.35546863276187085	y = -0.7340634144321547	t = 2.6390035152435303
x = -0.3547321370433925	y = -0.7350381961582955	t = 2.6524529457092285
x = -0.35369663178615524	y = -0.7363995464298514	t = 2.6683616638183594
x = -0.35280905585138045	y = -0.7375664180911851	t = 2.6817941665649414
x = -0.3519214799166056	y = -0.7387332897525187	t = 2.696054220199585
x = -0.3510339039818308	y = -0.7399001614138524	t = 2.711503505706787
x = -0.35014632804705603	y = -0.7410670330751861	t = 2.725067377090454
x = -0.34911523404118633	y = -0.7424317274917831	t = 2.7406229972839355
x = -0.3482314391790123	y = -0.743601465563152	t = 2.754589080810547
x = -0.34734764431683823	y = -0.7447712036345209	t = 2.7705600261688232
x = -0.3466079977045259	y = -0.7457435966856323	t = 2.7834150791168213
x = -0.34587150198604755	y = -0.746718378411773	t = 2.797506809234619
x = -0.3449877071238735	y = -0.7478881164831419	t = 2.813358783721924
x = -0.3441039122616995	y = -0.7490578545545108	t = 2.8275146484375
x = -0.34322011739952546	y = -0.7502275926258797	t = 2.8430519104003906
x = -0.3423363225373514	y = -0.7513973306972486	t = 2.859107255935669
x = -0.3416029854268335	y = -0.7523744908884619	t = 2.8723981380462646
x = -0.3410163157384191	y = -0.7531562190414325	t = 2.8862555027008057
x = -0.34013631120579757	y = -0.7543288112708885	t = 2.900284767150879
x = -0.339256306673176	y = -0.7555014035003444	t = 2.9158482551574707
x = -0.3385261358516613	y = -0.7564809319217612	t = 2.930314064025879
x = -0.3376499308658436	y = -0.7576563660274614	t = 2.944204568862915
x = -0.336922933981211	y = -0.7586382524194076	t = 2.964594602584839
x = -0.33605053771965177	y = -0.7598165160897432	t = 2.97857666015625
x = -0.3354689402119456	y = -0.7606020252033002	t = 2.9929890632629395
x = -0.3345965439503864	y = -0.7617802888736357	t = 3.008033037185669
x = -0.3340149464426803	y = -0.7625657979871927	t = 3.0221469402313232
x = -0.3331425501811211	y = -0.7637440616575283	t = 3.036222457885742
x = -0.332560952673415	y = -0.7645295707710853	t = 3.0506861209869385
x = -0.3318307818519003	y = -0.7655090991925022	t = 3.066235303878784
x = -0.3311037849672676	y = -0.7664909855844485	t = 3.08083176612854
x = -0.3303736141457529	y = -0.7674705140058653	t = 3.0942130088806152
x = -0.3294974091599352	y = -0.7686459481115655	t = 3.109990119934082
x = -0.3287640720494172	y = -0.7696231083027788	t = 3.128467559814453
x = -0.3280339012279025	y = -0.7706026367241957	t = 3.1426889896392822
x = -0.3270072292731774	y = -0.7719706609918944	t = 3.1564598083496094
x = -0.32627073355469904	y = -0.7729454427180351	t = 3.1732964515686035
x = -0.3255310869423867	y = -0.7739178357691465	t = 3.1884450912475586
x = -0.32493936965253684	y = -0.7746957502100357	t = 3.201907157897949
x = -0.3238994639899128	y = -0.776053742077638	t = 3.219099283218384
x = -0.3230081162790922	y = -0.7772177351070114	t = 3.2335336208343506
x = -0.322262191153421	y = -0.7781853202783774	t = 3.2499289512634277
x = -0.3215131384739866	y = -0.7791504862953854	t = 3.2642478942871094
x = -0.32076096608643834	y = -0.7801132230487945	t = 3.278130531311035
x = -0.3200056818691014	y = -0.7810735204548082	t = 3.292207956314087
x = -0.3190993408082971	y = -0.7822258773420246	t = 3.306389570236206
x = -0.31788096622966255	y = -0.7837544990414459	t = 3.327014446258545
x = -0.31650473642944965	y = -0.7854697534521791	t = 3.3452560901641846
x = -0.3152814210514826	y = -0.7869944240394975	t = 3.3725650310516357
x = -0.3143565521872452	y = -0.7881319644115191	t = 3.3911287784576416
x = -0.31327324908270526	y = -0.7894555958116172	t = 3.4058430194854736
x = -0.312502525029174	y = -0.7904035461216352	t = 3.420898199081421
x = -0.31157031258273166	y = -0.7915350762664891	t = 3.434856653213501
x = -0.3107904212405437	y = -0.7924754989647131	t = 3.4499704837799072
x = -0.31000749043019266	y = -0.7934133927237061	t = 3.4631569385528564
x = -0.30890714352096177	y = -0.7947228897183486	t = 3.4793851375579834
x = -0.30812421271061075	y = -0.7956607834773416	t = 3.492417335510254
x = -0.3071774305744691	y = -0.7967801512009687	t = 3.5075228214263916
x = -0.3062306484383275	y = -0.7978995189245958	t = 3.523448944091797
x = -0.30528386630218585	y = -0.7990188866482228	t = 3.5379602909088135
x = -0.3044918664172105	y = -0.799949134754458	t = 3.552476167678833
x = -0.30369686005619356	y = -0.8008768147870647	t = 3.5664076805114746
x = -0.3027428524229732	y = -0.8019900308261929	t = 3.581403970718384
x = -0.3017888447897529	y = -0.8031032468653211	t = 3.595973253250122
x = -0.3009908402796667	y = -0.8040283491076906	t = 3.610780954360962
x = -0.30018984597888676	y = -0.8049508638702136	t = 3.625394344329834
x = -0.2992286528179508	y = -0.8060578815852413	t = 3.6399314403533936
x = -0.2982674596570148	y = -0.8071648993002689	t = 3.6541335582733154
x = -0.2974634839552317	y = -0.8080848169204378	t = 3.6685280799865723
x = -0.2966565352733636	y = -0.8090021277629478	t = 3.682706832885742
x = -0.29552265677950984	y = -0.8102827000025373	t = 3.6974668502807617
x = -0.2947157080976418	y = -0.8112000108450472	t = 3.7121052742004395
x = -0.29374026499186395	y = -0.8122944930337582	t = 3.726396322250366
x = -0.29276482188608616	y = -0.8133889752224691	t = 3.7424416542053223
x = -0.2916226783861565	y = -0.8146621813822091	t = 3.7626452445983887
x = -0.29064369824335967	y = -0.8157535009477006	t = 3.779426097869873
x = -0.28949744016316115	y = -0.8170230040446684	t = 3.7948434352874756
x = -0.2885149332372766	y = -0.8181111495563552	t = 3.810328960418701
x = -0.2876932470555259	y = -0.8190152829401404	t = 3.8244874477386475
x = -0.286707223637425	y = -0.8201002430006825	t = 3.838524341583252
x = -0.2858826156519134	y = -0.8210017123718679	t = 3.852752923965454
x = -0.28489308606929953	y = -0.8220834756172903	t = 3.867994546890259
x = -0.2840655649170497	y = -0.8229822715337998	t = 3.882507562637329
x = -0.28307253953434997	y = -0.824060826633611	t = 3.8963372707366943
x = -0.28224211388289744	y = -0.8249569396813704	t = 3.9111688137054443
x = -0.2812456031011544	y = -0.8260322753386816	t = 3.925849437713623
x = -0.2804122816484566	y = -0.8269256961317173	t = 3.9401121139526367
x = -0.27941229590521927	y = -0.8279978010833602	t = 3.9534366130828857
x = -0.2785760873795646	y = -0.8288885202638977	t = 3.9689440727233887
x = -0.2777370005394809	y = -0.8297765285024593	t = 3.98321270942688
x = -0.2767300963313805	y = -0.8308421383887332	t = 3.9985709190368652
x = -0.2757231921232801	y = -0.8319077482750071	t = 4.012957811355591
x = -0.27470941163584905	y = -0.8329668184508306	t = 4.029103755950928
x = -0.27369563114841794	y = -0.8340258886266542	t = 4.042292833328247
x = -0.2728479622172311	y = -0.8349057083468556	t = 4.056142330169678
x = -0.27183075949980695	y = -0.8359614920110975	t = 4.072071313858032
x = -0.2706400428244782	y = -0.8371893924544256	t = 4.086407661437988
x = -0.2699596332957188	y = -0.8378910498506131	t = 4.100589275360107
x = -0.26876494892040276	y = -0.839115090267841	t = 4.115197658538818
x = -0.26790877780464195	y = -0.8399866385324206	t = 4.130539178848267
x = -0.26688137246572896	y = -0.8410324964499162	t = 4.144378185272217
x = -0.26567879027157976	y = -0.8422487783933598	t = 4.16346287727356
x = -0.2644722780413071	y = -0.8434611619703823	t = 4.1799774169921875
x = -0.26343812470107336	y = -0.8445003478935446	t = 4.1930623054504395
x = -0.2625735321087363	y = -0.845363542544959	t = 4.208246231079102
x = -0.2615360209979318	y = -0.8463993761266565	t = 4.222047567367554
x = -0.26049850988712725	y = -0.847435209708354	t = 4.236365556716919
x = -0.2594543158712079	y = -0.8484643060940892	t = 4.252456188201904
x = -0.25823998152109207	y = -0.849668854883371	t = 4.267985582351685
x = -0.25736981984115925	y = -0.850526435204817	t = 4.282333135604858
x = -0.2563189866679614	y = -0.851548751279288	t = 4.297008275985718
x = -0.25526815349476345	y = -0.852571067353759	t = 4.311946630477905
x = -0.2542173203215655	y = -0.85359338342823	t = 4.325971841812134
x = -0.2533388734387298	y = -0.8544424749609819	t = 4.341043710708618
x = -0.25228473717932687	y = -0.8554613848002842	t = 4.3548054695129395
x = -0.2510510708240953	y = -0.8566461265542548	t = 4.370850086212158
x = -0.2498135766711412	y = -0.8578268695072451	t = 4.385046482086182
x = -0.24892692739325212	y = -0.8586673922106706	t = 4.3990747928619385
x = -0.24786294825978528	y = -0.8596760194547811	t = 4.4139721393585205
x = -0.2469735833858234	y = -0.8605136682343526	t = 4.4279561042785645
x = -0.24590634553706917	y = -0.8615188467698385	t = 4.442604064941406
x = -0.24465744592043015	y = -0.8626875192847846	t = 4.456404209136963
x = -0.24394378899663646	y = -0.863355332150468	t = 4.471320629119873
x = -0.24286684220806884	y = -0.8643501015351039	t = 4.486322402954102
x = -0.24178989541950122	y = -0.8653448709197399	t = 4.500754356384277
x = -0.24052970806819848	y = -0.8665013628303246	t = 4.517528057098389
x = -0.23980960101031115	y = -0.8671622153506588	t = 4.5309460163116455
x = -0.2383693868945365	y = -0.8684839203913273	t = 4.545292854309082
x = -0.23692064794960388	y = -0.8697962756722021	t = 4.565151929855347
x = -0.2361962784771376	y = -0.8704524533126394	t = 4.579777240753174
x = -0.23492492218424416	y = -0.8715966556007649	t = 4.594780206680298
