x = 0.4998671573922338	y = -0.11838006635387617	t = 2.366351366043091
x = 0.49991290785164094	y = -0.11593703374597186	t = 2.37986421585083
x = 0.49994284433782477	y = -0.1134937561860916	t = 2.3959505558013916
x = 0.49996267042686765	y = -0.11129473070130814	t = 2.410524606704712
x = 0.49996080641048785	y = -0.10860692429959234	t = 2.424607038497925
x = 0.49995216417428007	y = -0.10640782642357885	t = 2.4386041164398193
x = 0.4999425616896047	y = -0.1039643843391194	t = 2.4520275592803955
x = 0.49993295920492936	y = -0.10152094225465991	t = 2.467529773712158
x = 0.49993109518854956	y = -0.09883313585294413	t = 2.4819116592407227
x = 0.4999294006282043	y = -0.09638967548774789	t = 2.4966073036193848
x = 0.49995363251481223	y = -0.09370197767301262	t = 2.5113167762756348
x = 0.49997566150263767	y = -0.09125861602325325	t = 2.525524139404297
x = 0.5000135051736222	y = -0.08881544814437434	t = 2.5400173664093018
x = 0.5000513488446068	y = -0.08637228026549533	t = 2.554486036300659
x = 0.5000891925155914	y = -0.08392911238661635	t = 2.568582773208618
x = 0.500127036186576	y = -0.08148594450773743	t = 2.5844197273254395
x = 0.5001599663213782	y = -0.0787983391918691	t = 2.5988097190856934
x = 0.5001899028075619	y = -0.0763550616319889	t = 2.6144309043884277
x = 0.5002097288966048	y = -0.07415603614720544	t = 2.6284191608428955
x = 0.5002159422783385	y = -0.07171258309430942	t = 2.642213821411133
x = 0.5002144171740278	y = -0.06951346876563277	t = 2.6570017337799072
x = 0.5001934048039142	y = -0.06658139091258009	t = 2.672367572784424
x = 0.500175894495486	y = -0.06413799270170281	t = 2.687880039215088
x = 0.5001653317623432	y = -0.061450206408797434	t = 2.7015175819396973
x = 0.5001638066580325	y = -0.059251092080120846	t = 2.7167139053344727
x = 0.5001706413779397	y = -0.056563293721935234	t = 2.7308197021484375
x = 0.5001861747625463	y = -0.05387553155953611	t = 2.745041847229004
x = 0.5002429402690232	y = -0.050210779741217654	t = 2.7643167972564697
x = 0.5002883526742047	y = -0.04727897828656294	t = 2.7793588638305664
x = 0.5003261963451893	y = -0.04483581040768399	t = 2.794499397277832
x = 0.5003640400161738	y = -0.042392642528805084	t = 2.8084893226623535
x = 0.5003969701509761	y = -0.039705037212936715	t = 2.8238556385040283
x = 0.500421202037584	y = -0.03701733939820147	t = 2.8380260467529297
x = 0.500433911170444	y = -0.03481826126532942	t = 2.8513970375061035
x = 0.5004395032140044	y = -0.032619153517723036	t = 2.866586923599243
x = 0.500427980232394	y = -0.029687023016371678	t = 2.881410837173462
x = 0.5004145367538485	y = -0.02626620409812841	t = 2.9019153118133545
x = 0.5003687844460514	y = -0.0218682123572919	t = 2.9249749183654785
x = 0.5003648869572573	y = -0.016248253517340702	t = 2.9561901092529297
x = 0.5004427218213352	y = -0.009895731861652015	t = 2.985567569732666
x = 0.5005616730157937	y = -0.0035438470811008675	t = 3.01849627494812
x = 0.5006743522299272	y = 0.0015861835904824395	t = 3.04831600189209
x = 0.500724677735275	y = 0.004273519459177215	t = 3.0625526905059814
x = 0.5007704281946821	y = 0.00671655206708143	t = 3.076814889907837
x = 0.5008166890691155	y = 0.011847611531576204	t = 3.1062722206115723
x = 0.5008144861406666	y = 0.01502411000633121	t = 3.1234090328216553
x = 0.5008127915803213	y = 0.0174675703715274	t = 3.1379637718200684
x = 0.5007952812718932	y = 0.019910968582404667	t = 3.152209758758545
x = 0.5007622379384842	y = 0.02308729595078661	t = 3.1709301471710205
x = 0.5007317363999528	y = 0.0260192904446776	t = 3.1863930225372314
x = 0.5007221339152775	y = 0.0284627325291371	t = 3.200679063796997
x = 0.5007106109336671	y = 0.031394863030488405	t = 3.215120792388916
x = 0.5007168243154009	y = 0.03383831608338448	t = 3.2283170223236084
x = 0.5007476648983564	y = 0.0372590223930476	t = 3.2438371181488037
x = 0.500785508569341	y = 0.03970219027192655	t = 3.2581727504730225
x = 0.5008309209745225	y = 0.04263399172658131	t = 3.271310806274414
x = 0.5008687646455071	y = 0.045077159605460215	t = 3.2868447303771973
